Date;Open;High;Low;Close;Adj Close;Volume
2021-03-16;236.279999;240.059998;235.940002;237.710007;235.789398;28092200
2021-03-17;236.149994;238.550003;233.229996;237.039993;235.124817;29562100
2021-03-18;232.559998;234.190002;230.330002;230.720001;228.855865;34833000
2021-03-19;231.020004;232.470001;229.350006;230.350006;228.488876;46430700
2021-03-22;230.270004;236.899994;230.139999;235.990005;234.083298;30127000
2021-03-23;237.490005;241.050003;237.070007;237.580002;235.660446;31638400
2021-03-24;237.850006;238.000000;235.320007;235.460007;233.557587;25620100
2021-03-25;235.300003;236.940002;231.570007;232.339996;230.462784;34061900
2021-03-26;231.550003;236.710007;231.550003;236.479996;234.569336;25479900
2021-03-29;236.589996;236.800003;231.880005;235.240005;233.339355;25227500
2021-03-30;233.529999;233.850006;231.100006;231.850006;229.976761;24792000
2021-03-31;232.910004;239.100006;232.389999;235.770004;233.865067;43623500
2021-04-01;238.470001;242.839996;238.050003;242.350006;240.391907;30338000
2021-04-05;242.759995;249.960007;242.699997;249.070007;247.057617;36910600
2021-04-06;247.610001;249.399994;246.880005;247.860001;245.857391;22931900
2021-04-07;247.809998;250.929993;247.190002;249.899994;247.880890;22719800
2021-04-08;252.770004;254.139999;252.000000;253.250000;251.203857;23625200
2021-04-09;252.869995;255.990005;252.440002;255.850006;253.782822;24326800
2021-04-12;254.710007;257.670013;254.619995;255.910004;253.842346;27148700
2021-04-13;257.260010;259.190002;256.829987;258.489990;256.401459;23837500
2021-04-14;257.480011;258.829987;255.160004;255.589996;253.524918;23070900
2021-04-15;257.929993;259.929993;257.730011;259.500000;257.403351;25627500
2021-04-16;259.470001;261.000000;257.600006;260.739990;258.633331;24878600
2021-04-19;260.190002;261.480011;257.820007;258.739990;256.649475;23209300
2021-04-20;257.820007;260.200012;256.839996;258.260010;256.173401;19722900
2021-04-21;258.940002;260.679993;257.250000;260.579987;258.474609;24030400
2021-04-22;260.209991;261.779999;255.639999;257.170013;255.092178;25606200
2021-04-23;257.880005;261.510010;257.269989;261.149994;259.040009;21462600
2021-04-26;261.660004;262.440002;260.170013;261.549988;259.436768;19763300
2021-04-27;261.579987;263.190002;260.119995;261.970001;259.853363;31014200
2021-04-28;256.079987;256.540009;252.949997;254.559998;252.503250;46903100
2021-04-29;255.460007;256.100006;249.000000;252.509995;250.469818;40589000
2021-04-30;249.740005;253.080002;249.600006;252.179993;250.142471;30945100
2021-05-03;253.399994;254.350006;251.119995;251.860001;249.825073;19626600
2021-05-04;250.970001;251.210007;245.759995;247.789993;245.787949;32756100
2021-05-05;249.059998;249.500000;245.820007;246.470001;244.478607;21901300
2021-05-06;246.449997;249.860001;244.690002;249.729996;247.712280;26491100
2021-05-07;252.149994;254.300003;251.169998;252.460007;250.420227;27032900
2021-05-10;250.869995;251.729996;247.119995;247.179993;245.182892;29299900
2021-05-11;244.550003;246.600006;242.570007;246.229996;244.240540;33641600
2021-05-12;242.169998;244.380005;238.070007;239.000000;237.068985;36684400
2021-05-13;241.800003;245.600006;241.419998;243.029999;241.066406;29624300
2021-05-14;245.580002;249.179993;245.490005;248.149994;246.145050;23901100
2021-05-17;246.550003;246.589996;243.520004;245.179993;243.199020;24970200
2021-05-18;246.270004;246.410004;242.899994;243.080002;241.115997;20168000
2021-05-19;239.309998;243.229996;238.600006;243.119995;241.712540;25739800
2021-05-20;243.960007;247.949997;243.860001;246.479996;245.053070;21800700
2021-05-21;247.570007;248.330002;244.740005;245.169998;243.750671;21863100
2021-05-24;247.789993;251.160004;247.509995;250.779999;249.328201;21411500
2021-05-25;251.770004;252.750000;250.820007;251.720001;250.262741;17704300
2021-05-26;251.429993;252.940002;250.750000;251.490005;250.034088;17771600
2021-05-27;251.169998;251.479996;249.250000;249.309998;247.866699;24426200
2021-05-28;251.000000;252.080002;249.559998;249.679993;248.234558;18270200
2021-06-01;251.229996;251.289993;246.960007;247.399994;245.967743;23213300
2021-06-02;248.130005;249.270004;245.839996;247.300003;245.868347;19406700
2021-06-03;245.220001;246.339996;243.000000;245.710007;244.287552;25307700
2021-06-04;247.759995;251.649994;247.509995;250.789993;249.338120;25281100
2021-06-07;249.979996;254.089996;249.809998;253.809998;252.340652;23079200
2021-06-08;255.160004;256.010010;252.509995;252.570007;251.107834;22455000
2021-06-09;253.809998;255.529999;253.210007;253.589996;252.121918;17937600
2021-06-10;254.289993;257.459991;253.669998;257.239990;255.750809;24563600
2021-06-11;257.989990;258.489990;256.609985;257.890015;256.397064;18999700
2021-06-14;257.899994;259.950012;256.799988;259.890015;258.385437;19150500
2021-06-15;259.769989;259.989990;257.679993;258.359985;256.864319;18038900
2021-06-16;259.399994;260.579987;254.419998;257.380005;255.889969;27220000
2021-06-17;256.070007;261.750000;256.010010;260.899994;259.389587;27565500
2021-06-18;259.630005;262.299988;258.750000;259.429993;257.928131;37202200
2021-06-21;259.820007;263.519989;257.920013;262.630005;261.109589;26696100
2021-06-22;262.720001;265.790009;262.399994;265.510010;263.972931;24694100
2021-06-23;265.989990;266.829987;264.429993;265.269989;263.734314;19518700
2021-06-24;266.160004;267.850006;265.470001;266.690002;265.146088;21446900
2021-06-25;266.230011;267.250000;264.760010;265.019989;263.485748;25611100
2021-06-28;266.190002;268.899994;265.910004;268.720001;267.164307;19590000
2021-06-29;268.869995;271.649994;267.980011;271.399994;269.828796;19937800
2021-06-30;270.690002;271.359985;269.600006;270.899994;269.331726;21656500
2021-07-01;269.609985;271.839996;269.600006;271.600006;270.027679;16725300
2021-07-02;272.820007;278.000000;272.500000;277.649994;276.042664;26458000
2021-07-06;278.029999;279.369995;274.299988;277.660004;276.052582;31565600
2021-07-07;279.399994;280.690002;277.149994;279.929993;278.309418;23260000
2021-07-08;276.899994;278.730011;274.869995;277.420013;275.813965;24618600
2021-07-09;275.720001;278.049988;275.320007;277.940002;276.330933;23916700
2021-07-12;279.160004;279.769989;276.579987;277.320007;275.714539;18931700
2021-07-13;277.519989;282.850006;277.390015;280.980011;279.353363;26120100
2021-07-14;282.350006;283.660004;280.549988;282.510010;280.874512;23113700
2021-07-15;282.000000;282.510010;279.829987;281.029999;279.403076;22604200
2021-07-16;282.070007;284.100006;279.459991;280.750000;279.124695;26186800
2021-07-19;278.929993;280.369995;274.450012;277.010010;275.406342;32935600
2021-07-20;278.029999;280.970001;276.260010;279.320007;277.702972;26259700
2021-07-21;278.899994;281.519989;277.290009;281.399994;279.770935;24364300
2021-07-22;283.839996;286.420013;283.420013;286.140015;284.483521;23384100
2021-07-23;287.369995;289.989990;286.500000;289.670013;287.993073;22768100
2021-07-26;289.000000;289.690002;286.640015;289.049988;287.376648;23176100
2021-07-27;289.429993;289.579987;282.950012;286.540009;284.881195;33604100
2021-07-28;288.989990;290.149994;283.829987;286.220001;284.563019;33566900
2021-07-29;286.239990;288.619995;286.079987;286.500000;284.841400;18168300
2021-07-30;285.170013;286.660004;283.910004;284.910004;283.260620;20940900
2021-08-02;286.359985;286.769989;283.739990;284.820007;283.171143;16267400
2021-08-03;285.420013;287.230011;284.000000;287.119995;285.457794;17879000
2021-08-04;286.220001;287.589996;284.649994;286.510010;284.851379;16191300
2021-08-05;286.880005;289.630005;286.100006;289.519989;287.843903;13900200
2021-08-06;288.510010;289.500000;287.619995;289.459991;287.784271;16585200
2021-08-09;289.750000;291.549988;287.809998;288.329987;286.660797;16117600
2021-08-10;288.799988;289.250000;285.200012;286.440002;284.781738;18616600
2021-08-11;287.209991;288.660004;285.859985;286.950012;285.288788;13955900
2021-08-12;286.630005;289.970001;286.339996;289.809998;288.132233;14561300
2021-08-13;289.480011;292.899994;289.299988;292.850006;291.154663;18231400
2021-08-16;293.190002;294.820007;290.019989;294.600006;292.894531;22507600
2021-08-17;292.390015;293.429993;291.079987;293.079987;291.383270;20075300
2021-08-18;292.040009;294.820007;290.269989;290.730011;289.600281;21813000
2021-08-19;288.690002;297.470001;288.640015;296.769989;295.616791;29850500
2021-08-20;299.720001;305.839996;298.059998;304.359985;303.177307;40796100
2021-08-23;303.250000;305.399994;301.850006;304.649994;303.466156;22830200
2021-08-24;305.019989;305.649994;302.000000;302.619995;301.444061;18175800
2021-08-25;304.299988;304.589996;300.420013;302.010010;300.836456;20006100
2021-08-26;300.989990;302.429993;298.950012;299.089996;297.927765;17666100
